Pergunta,Bloco,Discordo,Discordo_Parcial,Concordo_Parcial,Concordo,NR,Disc_aj,Disc_Parc_aj,Conc_Parc_aj,Conc_aj,Nivel
1,Ambiente de Gestão de Riscos,10.0,15.0,40.0,32.5,2.5,0.10256410256410256,0.15384615384615385,0.41025641025641024,0.3333333333333333,7.435897435897435
2,Ambiente de Gestão de Riscos,10.0,12.5,32.5,40.0,5.0,0.10526315789473684,0.13157894736842105,0.34210526315789475,0.42105263157894735,7.697368421052632
3,Ambiente de Gestão de Riscos,12.5,15.0,47.5,20.0,5.0,0.13157894736842105,0.15789473684210525,0.5,0.21052631578947367,6.973684210526315
4,Ambiente de Gestão de Riscos,10.0,15.0,25.0,47.5,2.5,0.10256410256410256,0.15384615384615385,0.2564102564102564,0.48717948717948717,7.820512820512819
5,Ambiente de Gestão de Riscos,5.0,17.5,42.5,35.0,0.0,0.05,0.175,0.425,0.35,7.6875
6,Ambiente de Gestão de Riscos,15.0,22.5,40.0,20.0,2.5,0.15384615384615385,0.23076923076923078,0.41025641025641024,0.20512820512820512,6.666666666666667
7,Ambiente de Gestão de Riscos,22.5,27.5,32.5,10.0,7.5,0.24324324324324326,0.2972972972972973,0.35135135135135137,0.10810810810810811,5.8108108108108105
8,Ambiente de Gestão de Riscos,15.0,12.5,52.5,15.0,5.0,0.15789473684210525,0.13157894736842105,0.5526315789473685,0.15789473684210525,6.776315789473685
9,Ambiente de Gestão de Riscos,15.0,17.5,32.5,30.0,5.0,0.15789473684210525,0.18421052631578946,0.34210526315789475,0.3157894736842105,7.0394736842105265
10,Ambiente de Gestão de Riscos,15.0,27.5,20.0,27.5,10.0,0.16666666666666666,0.3055555555555556,0.2222222222222222,0.3055555555555556,6.666666666666667
11,Ambiente de Gestão de Riscos,7.5,27.5,37.5,22.5,5.0,0.07894736842105263,0.2894736842105263,0.39473684210526316,0.23684210526315788,6.973684210526317
12,Ambiente de Gestão de Riscos,12.5,20.0,27.5,30.0,10.0,0.1388888888888889,0.2222222222222222,0.3055555555555556,0.3333333333333333,7.083333333333333
13,Ambiente de Gestão de Riscos,17.5,32.5,37.5,7.5,5.0,0.18421052631578946,0.34210526315789475,0.39473684210526316,0.07894736842105263,5.921052631578947
14,Ambiente de Gestão de Riscos,27.5,35.0,27.5,7.5,2.5,0.28205128205128205,0.358974358974359,0.28205128205128205,0.07692307692307693,5.384615384615385
15,Ambiente de Gestão de Riscos,15.0,17.5,42.5,22.5,2.5,0.15384615384615385,0.1794871794871795,0.4358974358974359,0.23076923076923078,6.8589743589743595
16,Ambiente de Gestão de Riscos,5.0,12.5,45.0,35.0,2.5,0.05128205128205128,0.1282051282051282,0.46153846153846156,0.358974358974359,7.820512820512819
17,Ambiente de Gestão de Riscos,10.0,30.0,32.5,25.0,2.5,0.10256410256410256,0.3076923076923077,0.3333333333333333,0.2564102564102564,6.858974358974359
18,Ambiente de Gestão de Riscos,25.0,17.5,22.5,27.5,7.5,0.2702702702702703,0.1891891891891892,0.24324324324324326,0.2972972972972973,6.418918918918919
19,Ambiente de Gestão de Riscos,10.0,15.0,40.0,27.5,7.5,0.10810810810810811,0.16216216216216217,0.43243243243243246,0.2972972972972973,7.297297297297297
20,Ambiente de Gestão de Riscos,7.5,32.5,47.5,5.0,7.5,0.08108108108108109,0.35135135135135137,0.5135135135135135,0.05405405405405406,6.351351351351352
21,Ambiente de Gestão de Riscos,7.5,25.0,30.0,32.5,5.0,0.07894736842105263,0.2631578947368421,0.3157894736842105,0.34210526315789475,7.302631578947368
22,Ambiente de Gestão de Riscos,12.5,22.5,40.0,15.0,10.0,0.1388888888888889,0.25,0.4444444444444444,0.16666666666666666,6.597222222222222
23,Ambiente de Gestão de Riscos,0.0,5.0,47.5,45.0,2.5,0.0,0.05128205128205128,0.48717948717948717,0.46153846153846156,8.525641025641026
24,Ambiente de Gestão de Riscos,5.0,15.0,42.5,35.0,2.5,0.05128205128205128,0.15384615384615385,0.4358974358974359,0.358974358974359,7.756410256410257
25,Processo,2.5,12.5,37.5,45.0,2.5,0.02564102564102564,0.1282051282051282,0.38461538461538464,0.46153846153846156,8.205128205128204
26,Processo,15.0,10.0,40.0,32.5,2.5,0.15384615384615385,0.10256410256410256,0.41025641025641024,0.3333333333333333,7.3076923076923075
27,Processo,10.0,12.5,30.0,42.5,5.0,0.10526315789473684,0.13157894736842105,0.3157894736842105,0.4473684210526316,7.7631578947368425
28,Processo,5.0,17.5,30.0,42.5,5.0,0.05263157894736842,0.18421052631578946,0.3157894736842105,0.4473684210526316,7.894736842105264
29,Processo,10.0,12.5,30.0,45.0,2.5,0.10256410256410256,0.1282051282051282,0.3076923076923077,0.46153846153846156,7.82051282051282
30,Processo,12.5,5.0,45.0,32.5,5.0,0.13157894736842105,0.05263157894736842,0.47368421052631576,0.34210526315789475,7.56578947368421
31,Processo,10.0,12.5,42.5,30.0,5.0,0.10526315789473684,0.13157894736842105,0.4473684210526316,0.3157894736842105,7.43421052631579
32,Processo,15.0,17.5,25.0,35.0,7.5,0.16216216216216217,0.1891891891891892,0.2702702702702703,0.3783783783783784,7.162162162162163
33,Processo,12.5,22.5,35.0,25.0,5.0,0.13157894736842105,0.23684210526315788,0.3684210526315789,0.2631578947368421,6.907894736842104
34,Processo,7.5,7.5,42.5,32.5,10.0,0.08333333333333333,0.08333333333333333,0.4722222222222222,0.3611111111111111,7.777777777777778
35,Processo,10.0,7.5,30.0,35.0,17.5,0.12121212121212122,0.09090909090909091,0.36363636363636365,0.42424242424242425,7.727272727272727
36,Processo,12.5,27.5,27.5,27.5,5.0,0.13157894736842105,0.2894736842105263,0.2894736842105263,0.2894736842105263,6.842105263157895
37,Processo,20.0,17.5,37.5,17.5,7.5,0.21621621621621623,0.1891891891891892,0.40540540540540543,0.1891891891891892,6.418918918918919
38,Processo,10.0,15.0,37.5,27.5,10.0,0.1111111111111111,0.16666666666666666,0.4166666666666667,0.3055555555555556,7.291666666666666
39,Processo,10.0,22.5,22.5,42.5,2.5,0.10256410256410256,0.23076923076923078,0.23076923076923078,0.4358974358974359,7.500000000000001
40,Processo,12.5,22.5,35.0,20.0,10.0,0.1388888888888889,0.25,0.3888888888888889,0.2222222222222222,6.736111111111112
41,Processo,20.0,32.5,32.5,5.0,10.0,0.2222222222222222,0.3611111111111111,0.3611111111111111,0.05555555555555555,5.625
42,Processo,15.0,17.5,37.5,22.5,7.5,0.16216216216216217,0.1891891891891892,0.40540540540540543,0.24324324324324326,6.824324324324325
43,Processo,20.0,17.5,47.5,12.5,2.5,0.20512820512820512,0.1794871794871795,0.48717948717948717,0.1282051282051282,6.346153846153847
44,Processo,20.0,27.5,32.5,12.5,7.5,0.21621621621621623,0.2972972972972973,0.35135135135135137,0.13513513513513514,6.013513513513513
45,Resultado,20.0,20.0,37.5,20.0,2.5,0.20512820512820512,0.20512820512820512,0.38461538461538464,0.20512820512820512,6.4743589743589745
46,Resultado,7.5,27.5,37.5,22.5,5.0,0.07894736842105263,0.2894736842105263,0.39473684210526316,0.23684210526315788,6.973684210526317
47,Resultado,10.0,5.0,25.0,55.0,5.0,0.10526315789473684,0.05263157894736842,0.2631578947368421,0.5789473684210527,8.289473684210527
48,Resultado,7.5,2.5,32.5,55.0,2.5,0.07692307692307693,0.02564102564102564,0.3333333333333333,0.5641025641025641,8.46153846153846
49,Resultado,12.5,5.0,40.0,40.0,2.5,0.1282051282051282,0.05128205128205128,0.41025641025641024,0.41025641025641024,7.7564102564102555
50,Resultado,12.5,15.0,30.0,37.5,5.0,0.13157894736842105,0.15789473684210525,0.3157894736842105,0.39473684210526316,7.434210526315789
51,Resultado,10.0,7.5,37.5,42.5,2.5,0.10256410256410256,0.07692307692307693,0.38461538461538464,0.4358974358974359,7.884615384615386
52,Resultado,12.5,17.5,25.0,37.5,7.5,0.13513513513513514,0.1891891891891892,0.2702702702702703,0.40540540540540543,7.364864864864866
53,Resultado,10.0,12.5,35.0,40.0,2.5,0.10256410256410256,0.1282051282051282,0.358974358974359,0.41025641025641024,7.6923076923076925
