NOME,SIGLA,RESPOSTA
ADVOCACIA-GERAL DA UNIÃO,AGU,SIM
AGÊNCIA ESPACIAL BRASILEIRA,AEB,NÃO
AGÊNCIA NACIONAL DE ÁGUAS,ANA,SIM
AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,ANAC,SIM
AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA,ANEEL,SIM
AGÊNCIA NACIONAL DE MINERAÇÃO,ANM,SIM
AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR,ANS,SIM
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,ANATEL,SIM
AGÊNCIA NACIONAL DE TRANSPORTES AQUAVIÁRIOS,ANTAQ,SIM
AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,ANTT,SIM
AGÊNCIA NACIONAL DE VIGILÂNCIA SANITÁRIA,ANVISA,SIM
AGÊNCIA NACIONAL DO CINEMA,ANCINE,SIM
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",ANP,SIM
BANCO CENTRAL DO BRASIL,BACEN,SIM
CASA CIVIL DA PRESIDÊNCIA DA REPÚBLICA,CC-PR,SIM
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA - CELSO SUCKOW DA FONSECA -,CEFET-RJ,SIM
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET-MG,SIM
COLÉGIO PEDRO II,CP II,SIM
COMANDO DA AERONÁUTICA,COMAER,SIM
COMANDO DA MARINHA,CMAR,SIM
COMANDO DO EXÉRCITO,CEX,SIM
COMISSÃO DE VALORES MOBILIÁRIOS,CVM,SIM
COMISSÃO NACIONAL DE ENERGIA NUCLEAR,CNEN,SIM
CONSELHO ADMINISTRATIVO DE DEFESA ECONÔMICA,CADE,SIM
CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,CNPQ,SIM
CONTROLADORIA-GERAL DA UNIÃO,CGU,SIM
DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,DNIT,SIM
DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS,DNOCS,SIM
FUNDAÇÃO ALEXANDRE DE GUSMÃO,FUNAG,SIM
FUNDAÇÃO BIBLIOTECA NACIONAL,FBN,SIM
FUNDAÇÃO CASA DE RUI BARBOSA,FCRB,NÃO
FUNDAÇÃO COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR,CAPES,SIM
FUNDAÇÃO CULTURAL PALMARES,FCP,SIM
FUNDAÇÃO DE PREVIDÊNCIA COMPLEMENTAR DO SERVIDOR PÚBLICO FEDERAL DO PODER EXECUTIVO,FUNPRESP-EXE,SIM
FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA,ENAP,NÃO
FUNDAÇÃO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA,IBGE,SIM
FUNDAÇÃO INSTITUTO DE PESQUISA ECONÔMICA APLICADA,IPEA,SIM
FUNDAÇÃO JOAQUIM NABUCO,FUNDAJ,NÃO
"FUNDAÇÃO JORGE DUPRAT FIGUEIREDO, DE SEGURANÇA E MEDICINA DO TRABALHO",FUNDACENTRO,SIM
FUNDAÇÃO NACIONAL DE ARTES,FUNARTE,NÃO
FUNDAÇÃO NACIONAL DE SAÚDE,FUNASA,SIM
FUNDAÇÃO NACIONAL DO ÍNDIO,FUNAI,SIM
FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ,SIM
FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA,UNB,SIM
FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,UFAM,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,NÃO
FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,NÃO
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,FUNREI,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,UFABC,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE,UFAC,NÃO
FUNDAÇÃO UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,UNIPAMPA,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,SIM
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,FNDE,SIM
GABINETE DE SEGURANÇA INSTITUCIONAL DA PRESIDÊNCIA DA REPÚBLICA,GSI/PR,SIM
INSTITUTO BRASILEIRO DE MUSEUS,IBRAM,SIM
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS,IBAMA,SIM
INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,ICMBIO,SIM
INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO,JBRJ,SIM
INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL,IPHAN,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",IF BAIANO,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",IFC,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",IF BA,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA",IFPB,NÃO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",IFAL,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE BRASÍLIA",IFB,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFGO,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO",IF MT,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS",IFMG,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA",IFRO,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA",IFRR,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA",IFSC,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",IFS,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE",IFAC,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ",IFAP,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS",IFAM,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IF ES,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MATO GROSSO DO SUL",IFMS,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",IFPA,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",IFPR,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",IFPI,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO",IFRJ,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",IFRN,NÃO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL",IFRS,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO",IFSPE,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",IFSULDEMINAS,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO",IFTRIAMG,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",IFFAR,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IFFLU,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IF-GOIANO,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUDESTE DE MINAS GERAIS",IFMGSE,SIM
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSUL,SIM
"INSTITUTO FEDERAL DO EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS",IFTO,SIM
INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,INPI,SIM
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,SIM
INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS ANÍSIO TEIXEIRA,INEP,SIM
"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",INMETRO,SIM
INSTITUTO NACIONAL DE TECNOLOGIA DA INFORMAÇÃO,ITI,SIM
INSTITUTO NACIONAL DO SEGURO SOCIAL,INSS,SIM
"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,SIM
MINISTÉRIO DA CIDADANIA,MCIDADANIA,SIM
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,SIM
MINISTÉRIO DA DEFESA,MD,SIM
MINISTÉRIO DA ECONOMIA,ME,SIM
MINISTÉRIO DA EDUCAÇÃO,MEC,SIM
MINISTÉRIO DA INFRAESTRUTURA,MINFRA,SIM
MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,SIM
"MINISTÉRIO DA MULHER, DA FAMÍLIA E DOS DIREITOS HUMANOS",MMFDH,SIM
MINISTÉRIO DA SAÚDE,MS,SIM
MINISTÉRIO DAS COMUNICAÇÕES,MCOM,NÃO
MINISTÉRIO DAS RELAÇÕES EXTERIORES,MRE,SIM
MINISTÉRIO DE MINAS E ENERGIA,MME,SIM
MINISTÉRIO DO DESENVOLVIMENTO REGIONAL,MDR,SIM
MINISTÉRIO DO MEIO AMBIENTE,MMA,SIM
MINISTÉRIO DO TRABALHO E PREVIDÊNCIA,MTP,NÃO
MINISTÉRIO DO TURISMO,MTUR,SIM
SECRETARIA DE GOVERNO DA PRESIDÊNCIA DA REPÚBLICA,SEGOV/PR,SIM
SECRETARIA-GERAL DA PRESIDÊNCIA DA REPÚBLICA,SGPR,SIM
SUPERINTENDÊNCIA DA ZONA FRANCA DE MANAUS,SUFRAMA,SIM
SUPERINTENDÊNCIA DE DESENVOLVIMENTO DO CENTRO-OESTE,SUDECO,SIM
SUPERINTENDÊNCIA DE SEGUROS PRIVADOS,SUSEP,SIM
SUPERINTENDÊNCIA DO DESENVOLVIMENTO DA AMAZÔNIA,SUDAM,SIM
SUPERINTENDÊNCIA DO DESENVOLVIMENTO DO NORDESTE,SUDENE,SIM
SUPERINTENDÊNCIA NACIONAL DE PREVIDÊNCIA COMPLEMENTAR,PREVIC,SIM
UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,SIM
UNIVERSIDADE FEDERAL DA BAHIA,UFBA,SIM
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,SIM
UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,SIM
UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,SIM
UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,SIM
UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,SIM
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,SIM
UNIVERSIDADE FEDERAL DE CATALÃO,UFCAT,SIM
UNIVERSIDADE FEDERAL DE GOIÁS,UFG,SIM
UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,SIM
UNIVERSIDADE FEDERAL DE JATAÍ,UFJ,NÃO
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,SIM
UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,SIM
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,SIM
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,SIM
UNIVERSIDADE FEDERAL DE RONDONÓPOLIS,UFR,SIM
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SIM
UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,SIM
UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SIM
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,SIM
UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO,UFAPE,NÃO
UNIVERSIDADE FEDERAL DO CARIRI,UFCA,SIM
UNIVERSIDADE FEDERAL DO CEARÁ,UFC,SIM
UNIVERSIDADE FEDERAL DO DELTA DO PARNAÍBA,UFDPAR,NÃO
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,SIM
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,SIM
UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,NÃO
UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,SIM
UNIVERSIDADE FEDERAL DO PARÁ,UFPA,SIM
UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,SIM
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,SIM
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,SIM
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,SIM
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,SIM
UNIVERSIDADE FEDERAL DO SUL DA BAHIA,UFESBA,SIM
UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,UNIFESSPA,SIM
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,SIM
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,SIM
UNIVERSIDADE FEDERAL FLUMINENSE,UFF,SIM
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,SIM
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,SIM
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,SIM
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA-RN,SIM
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,SIM
